run_name,mode,csv_file,duration_s,avg_power_w,avg_ipc,avg_util,actions_per_minute,throughput_mib_s,latency_us,iops
baseline,BASELINE,results/raw/baseline.csv,61.9,10.543,1.877,46.909,120.19,0.362,2.766,0.361
rl,RL,results/raw/rl.csv,59.8,10.778,1.91,44.541,120.4,0.356,2.806,0.356
