timestamp,util,ipc,iowait,mpki,freq,power,action,source,rl_enabled
34.2,42.8,1.956,0.0,0.5,1270.2,10.62,DO_NOTHING,BASELINE,0
34.7,44.4,1.939,0.1,0.5,1154.3,10.76,DO_NOTHING,BASELINE,0
35.2,46.2,1.884,0.2,0.7,1161.2,10.82,DO_NOTHING,BASELINE,0
35.7,42.1,1.964,0.0,0.5,1131.2,10.51,DO_NOTHING,BASELINE,0
36.2,47.8,1.843,0.0,0.9,1267.3,10.82,DO_NOTHING,BASELINE,0
36.7,46.8,1.835,0.0,0.9,1399.9,10.52,DO_NOTHING,BASELINE,0
37.2,49.9,1.796,0.1,1.2,1143.6,10.58,DO_NOTHING,BASELINE,0
37.7,44.1,1.996,0.0,0.5,1004.5,10.76,DO_NOTHING,BASELINE,0
38.2,45.2,1.973,0.0,0.8,1372.9,10.95,DO_NOTHING,BASELINE,0
38.7,54.3,1.867,0.0,1.2,1132.1,11.40,DO_NOTHING,BASELINE,0
39.2,45.4,1.986,0.1,0.7,1307.8,11.00,DO_NOTHING,BASELINE,0
39.7,41.2,2.064,0.0,0.5,1281.2,10.71,DO_NOTHING,BASELINE,0
40.2,45.3,1.973,0.2,0.7,1449.9,10.86,DO_NOTHING,BASELINE,0
40.7,48.8,1.928,0.1,0.9,1369.9,11.31,DO_NOTHING,BASELINE,0
41.2,42.4,2.059,0.0,0.6,1155.2,10.77,DO_NOTHING,BASELINE,0
41.7,46.4,1.958,0.0,0.8,1156.2,11.16,DO_NOTHING,BASELINE,0
42.2,46.2,1.957,0.0,0.8,1400.1,11.07,DO_NOTHING,BASELINE,0
42.7,43.5,2.017,0.0,0.6,1228.4,10.91,DO_NOTHING,BASELINE,0
43.2,47.9,1.911,0.0,1.0,1240.5,11.11,DO_NOTHING,BASELINE,0
43.8,40.8,2.078,0.0,0.4,1155.2,10.61,DO_NOTHING,BASELINE,0
44.3,48.7,1.971,0.0,0.9,1111.9,11.07,DO_NOTHING,BASELINE,0
44.8,43.3,2.024,0.0,0.5,1357.3,10.97,DO_NOTHING,BASELINE,0
45.3,43.2,2.034,0.0,0.6,1076.6,10.91,DO_NOTHING,BASELINE,0
45.8,46.4,1.939,0.0,0.9,1218.2,10.91,DO_NOTHING,BASELINE,0
46.3,43.0,2.013,0.0,0.6,1479.2,10.87,DO_NOTHING,BASELINE,0
46.8,44.0,1.994,0.0,0.6,1143.2,10.75,DO_NOTHING,BASELINE,0
47.3,51.9,1.884,0.0,1.0,1264.7,11.30,DO_NOTHING,BASELINE,0
47.8,49.2,1.833,0.1,1.1,1273.6,10.62,DO_NOTHING,BASELINE,0
48.3,54.8,1.769,0.6,1.5,1499.5,11.19,DO_NOTHING,BASELINE,0
48.8,71.9,1.617,0.9,2.5,1005.5,12.04,DO_NOTHING,BASELINE,0
49.3,52.0,1.795,0.1,1.6,1291.3,10.74,DO_NOTHING,BASELINE,0
49.8,47.4,1.901,0.0,1.0,1319.5,10.92,DO_NOTHING,BASELINE,0
50.3,43.4,2.010,0.1,0.7,1260.2,10.79,DO_NOTHING,BASELINE,0
50.8,51.4,1.880,0.0,1.3,1201.0,11.21,DO_NOTHING,BASELINE,0
51.3,47.4,1.932,0.0,1.0,1274.8,10.89,DO_NOTHING,BASELINE,0
51.8,55.0,1.776,0.0,1.4,1170.9,11.10,DO_NOTHING,BASELINE,0
52.3,53.1,1.780,0.2,1.3,1413.4,11.02,DO_NOTHING,BASELINE,0
52.8,49.2,1.852,0.0,1.0,1117.4,10.36,DO_NOTHING,BASELINE,0
53.3,53.8,1.804,0.0,1.4,1284.6,10.85,DO_NOTHING,BASELINE,0
53.8,47.2,1.944,0.0,1.0,1155.3,10.94,DO_NOTHING,BASELINE,0
54.3,54.0,1.881,0.0,1.4,1224.1,11.03,DO_NOTHING,BASELINE,0
54.8,48.9,1.912,0.0,1.0,1300.3,11.01,DO_NOTHING,BASELINE,0
55.3,50.4,1.885,0.1,1.2,1280.2,10.89,DO_NOTHING,BASELINE,0
55.8,49.1,1.854,0.5,0.9,1356.0,11.08,DO_NOTHING,BASELINE,0
56.3,41.6,1.992,0.0,0.4,1273.4,10.60,DO_NOTHING,BASELINE,0
56.8,46.3,1.907,0.0,0.6,1145.6,11.02,DO_NOTHING,BASELINE,0
57.3,44.9,1.930,0.0,0.5,1444.1,11.06,DO_NOTHING,BASELINE,0
57.8,51.7,1.818,0.0,1.1,1143.4,11.10,DO_NOTHING,BASELINE,0
58.3,45.5,1.966,0.1,0.5,1348.0,11.07,DO_NOTHING,BASELINE,0
58.8,40.3,2.044,0.0,0.3,1429.6,10.60,DO_NOTHING,BASELINE,0
59.3,48.8,1.941,0.0,0.6,1182.9,11.15,DO_NOTHING,BASELINE,0
59.8,42.0,2.054,0.0,0.4,1362.6,10.69,DO_NOTHING,BASELINE,0
60.3,15.0,1.696,0.0,1.6,599.9,5.86,DO_NOTHING,BASELINE,0
60.9,7.3,0.960,0.0,5.9,756.8,4.73,DO_NOTHING,BASELINE,0
61.4,7.7,0.646,0.2,8.4,1185.5,4.82,DO_NOTHING,BASELINE,0
61.9,4.8,0.824,0.0,7.7,605.7,4.19,DO_NOTHING,BASELINE,0
