timestamp,util,ipc,iowait,mpki,freq,power,action,source,rl_enabled
36.7,44.6,2.007,0.2,0.7,1150.5,11.00,POWERSAVE_50,RL,1
37.2,57.1,1.774,0.1,1.4,1406.2,11.78,POWERSAVE_50,RL,1
37.7,45.1,1.982,0.0,0.8,1200.8,11.05,IO_BFQ,RL,1
38.2,55.1,1.806,0.0,1.2,1426.7,11.64,IO_BFQ,RL,1
38.7,42.2,2.033,0.0,0.4,1400.0,10.79,IO_BFQ,RL,1
39.2,42.8,2.050,0.0,0.4,928.8,10.92,DO_NOTHING,RL,1
39.7,47.1,1.958,0.0,0.7,1337.3,11.22,DO_NOTHING,RL,1
40.2,42.7,2.065,0.0,0.4,1295.6,10.85,DO_NOTHING,RL,1
40.7,45.8,1.971,0.1,0.7,1195.8,11.24,PERF_100,RL,1
41.2,43.6,2.009,0.0,0.6,1292.9,11.00,PERF_100,RL,1
41.7,45.2,1.982,0.0,0.7,1366.1,11.11,PERF_100,RL,1
42.2,46.4,1.935,0.1,0.8,1499.9,11.12,DO_NOTHING,RL,1
42.7,42.7,2.036,0.0,0.5,1267.3,10.88,DO_NOTHING,RL,1
43.3,44.5,2.004,0.1,0.5,1210.8,11.19,DO_NOTHING,RL,1
43.8,42.1,2.044,0.0,0.4,1182.1,10.82,DO_NOTHING,RL,1
44.3,43.5,2.022,0.1,0.6,1130.5,10.82,DO_NOTHING,RL,1
44.8,44.6,2.002,0.0,0.5,1362.1,11.13,DO_NOTHING,RL,1
45.3,39.9,2.111,0.0,0.3,1218.9,10.64,POWERSAVE_50,RL,1
45.8,47.6,1.933,0.0,0.9,1294.8,11.15,POWERSAVE_50,RL,1
46.3,43.6,2.006,0.0,0.6,1212.6,10.98,POWERSAVE_50,RL,1
46.8,42.3,2.060,0.0,0.4,1138.8,10.82,IO_BFQ,RL,1
47.3,55.2,1.819,0.0,1.3,1290.2,11.73,IO_BFQ,RL,1
47.8,45.9,1.947,0.2,0.9,1294.0,11.14,IO_BFQ,RL,1
48.3,45.6,1.978,0.0,0.6,1224.6,11.20,IO_BFQ,RL,1
48.8,44.2,1.988,0.0,0.6,1399.8,10.99,IO_BFQ,RL,1
49.3,43.1,2.033,0.0,0.5,1102.4,10.91,IO_BFQ,RL,1
49.8,46.0,1.966,0.0,0.7,1216.5,11.20,IO_BFQ,RL,1
50.3,43.8,1.988,0.0,0.8,1488.4,11.12,IO_BFQ,RL,1
50.8,47.3,1.934,0.0,0.9,1004.4,11.16,IO_BFQ,RL,1
51.3,45.2,1.962,0.2,0.7,1478.3,11.14,IO_BFQ,RL,1
51.8,41.6,2.064,0.0,0.4,1127.0,10.76,IO_BFQ,RL,1
52.3,44.8,1.996,0.0,0.5,1148.4,11.13,IO_BFQ,RL,1
52.8,42.3,2.047,0.0,0.5,1300.0,10.98,POWERSAVE_50,RL,1
53.3,45.8,1.976,0.0,0.7,1070.1,11.08,POWERSAVE_50,RL,1
53.8,45.3,1.964,0.1,0.7,1431.3,11.12,POWERSAVE_50,RL,1
54.3,45.9,1.973,0.1,0.8,1206.5,11.14,IO_BFQ,RL,1
54.8,45.9,1.966,0.0,0.7,1030.1,11.24,IO_BFQ,RL,1
55.3,43.0,2.022,0.0,0.6,1156.4,10.95,IO_BFQ,RL,1
55.8,45.6,1.971,0.0,0.7,936.3,11.18,PERF_100,RL,1
56.3,46.0,1.946,0.0,0.8,1308.3,11.29,PERF_100,RL,1
56.8,44.6,1.985,0.1,0.8,1004.2,10.99,PERF_100,RL,1
57.3,48.9,1.898,0.0,1.0,1208.7,11.13,PERF_100,RL,1
57.8,40.8,2.080,0.0,0.4,1437.9,10.73,PERF_100,RL,1
58.3,24.1,1.542,0.0,2.9,1071.9,7.86,PERF_100,RL,1
58.8,12.2,0.768,0.0,9.1,815.3,5.79,IO_BFQ,RL,1
59.3,6.8,0.503,0.0,8.4,685.2,4.47,IO_BFQ,RL,1
59.8,9.5,0.800,0.0,7.0,682.7,5.21,IO_BFQ,RL,1
